ID_COORD,original_lat,original_long,lat2,long2
173,00°27.499S,077°53.290W,-0.458316666666667,-77.8881666666667
174,00°43.460S,077°46.172W,-0.724333333333333,-77.7695333333333
175,00°36°52S,077°53°13W,-0.6,-77.8833333333333
176,00°32.68S,077°52.617W,-0.544666666666667,-77.87695
177,00°+D1466935.900S,077°53.739W,NA,-77.89565
178,00°21.880S,078°05.088W,-0.364666666666667,-78.0848
179,00°35.244S,077°51.784W,-0.5874,-77.8630666666667
180,00°35.233S,077°51.773W,-0.587216666666667,-77.8628833333333
181,00°27.498S,077°53.538W,-0.4583,-77.8923
182,00°19.121S,077°47.424W,-0.318683333333333,-77.7904
183,00°35.258S,077°52.828W,-0.587633333333333,-77.8804666666667
184,0°55´23.2S,077°49´14.6W,-0.916666666666667,-77.8166666666667
185,"0°59´25.7""S","077°47´55.2""W",-0.983333333333333,-77.7833333333333
186,01°04.260S,077°36.906W,-1.071,-77.6151
187,00°21.576S,078°074.995W,-0.3596,-79.2499166666667
188,00°21.533S,078°05.026W,-0.358883333333333,-78.0837666666667
189,00°13.070S,078°02.203W,-0.217833333333333,-78.0367166666667
190,0°13.1.5S,077°44.18.2W,-0.219166666666667,-77.7363666666667
191,00°35°49S,077°53°11W,-0.583333333333333,-77.8833333333333
192,00°35.49S,077°53.12W,-0.5915,-77.8853333333333
193,"0°37'55.6""","077°53'48.1""",-0.616666666666667,-77.8833333333333
194,00°36°00.2S,077°53°12.6W,-0.6,-77.8833333333333
195,"0°41´29.5""S","077°43´50.1""W",-0.683333333333333,-77.7166666666667
196,00°36.04S,077°53.03W,-0.600666666666667,-77.8838333333333
197,00°31.52S,077°52.59W,-0.525333333333333,-77.8765
198,00°43.45S,077°46.25W,-0.724166666666667,-77.7708333333333
199,00°05.54S,077°35.01W,-0.0923333333333333,-77.5835
200,00°36.00S,077°52.54W,-0.6,-77.8756666666667
201,00°35.54S,077°53.06W,-0.592333333333333,-77.8843333333333
202,00°35.54S,077°53.05W,-0.592333333333333,-77.8841666666667
203,00°35.19S,077°52.52W,-0.5865,-77.8753333333333
204,00°35.49S,077°53°09W,-0.5915,-77.8833333333333
205,00°35°59S,077°52°53W,-0.583333333333333,-77.8666666666667
206,00°35°56S,077°53°09W,-0.583333333333333,-77.8833333333333
207,00°35°51S,077°53°06W,-0.583333333333333,-77.8833333333333
208,00°35°52S,077°53°05W,-0.583333333333333,-77.8833333333333
209,00°35°54S,077°52°58W,-0.583333333333333,-77.8666666666667
