original_lat,original_long,long2,lat2,manual_rev
00°31.940S,077°52.421W,-77.8736833333333,-0.532333333333333,
00°36.031S,077°53.242W,-77.8873666666667,-0.600516666666667,
00°35.117S,077°52.523W,-77.8753833333333,-0.585283333333333,
"00°34'76.60""S","77°52'52.0""W",-77.8666666666667,-0.566666666666667,
"00°62'57""S","77°85'04.1""W",-78.4166666666667,-1.03333333333333,
"00°61'66.4""S","77°88'28.6""W",-78.4666666666667,-1.01666666666667,
"00°61'62.1""S","77°88'25.7""W",-78.4666666666667,-1.01666666666667,
"00°65'59.0""S","77°88'21.4""W",-78.4666666666667,-1.08333333333333,
"00°61'58.8""S","77°88'21.7""W",-78.4666666666667,-1.01666666666667,
"00°59'73.1""S","77°89'32.4""W",-78.4833333333333,-0.983333333333333,
"00°59'58.8""S","77°89'31.7""W",-78.4833333333333,-0.983333333333333,
"00°59'37""S","77°87'76""W",-78.45,-0.983333333333333,
"00°35'17""S","77°52'38""W",-77.8666666666667,-0.583333333333333,
"00°35'56""S","77°53'33""W",-77.8833333333333,-0.583333333333333,
"00°35'33""S","77°53'13""W",-77.8833333333333,-0.583333333333333,
"00°35'30""S","77°53'3""W",-77.8833333333333,-0.583333333333333,
"00°35'58""S","77°53'21""W",-77.8833333333333,-0.583333333333333,
"00°35'60""S","77°53'21""W",-77.8833333333333,-0.583333333333333,
"00°36'1""S","77°53'20""W",-77.8833333333333,-0.6,
"00°35'57""S","77°53'30""W",-77.8833333333333,-0.583333333333333,
"00°34'31""S","77°52'12""W",-77.8666666666667,-0.566666666666667,
"00°34'30""S","77°52'13""W",-77.8666666666667,-0.566666666666667,
"00°35'50""S","77°53'39""W",-77.8833333333333,-0.583333333333333,
"00°35'49""S","77°53'40""W",-77.8833333333333,-0.583333333333333,
"00°35'54""S","77°53'35""W",-77.8833333333333,-0.583333333333333,
"00°35'9""S","77°52'42""W",-77.8666666666667,-0.583333333333333,
"00°35'7""S","77°52'42""W",-77.8666666666667,-0.583333333333333,
"00°35'57""S","77°53'31""W",-77.8833333333333,-0.583333333333333,
"00°35'53""S","77°53'41""W",-77.8833333333333,-0.583333333333333,
"00°36'02.1""S","77°53'24.27""W",-77.8833333333333,-0.6,
"00°36'02.16""S","77°53'24.27""W",-77.8833333333333,-0.6,
"00°36'00.95""S","77°53'24.51""W",-77.8833333333333,-0.6,
"00°36'02.29""S","77°53'15.54""W",-77.8833333333333,-0.6,
"00°36'03.72""S","77°53'18.76""W",-77.8833333333333,-0.6,
"00°36'05.09""S","77°53'18.44""W",-77.8833333333333,-0.6,
"00°36'05.07""S","77°53'15.89""W",-77.8833333333333,-0.6,
"00°36'02.62""S","77°53'12.34""W",-77.8833333333333,-0.6,
"00°36'10.07""S","77°53'21.28""W",-77.8833333333333,-0.6,
"00°36'08.75""S","77°53'19.04""W",-77.8833333333333,-0.6,
"00°36'18.41""S","77°53'22.61""W",-77.8833333333333,-0.6,
"00°36'19.45""S","77°53'21.23""W",-77.8833333333333,-0.6,
"00°36'17.56""S","77°53'15.54""W",-77.8833333333333,-0.6,
"00°36'14.88""S","77°53'15.15""W",-77.8833333333333,-0.6,
"00°36'16.71""S","77°53'11.21""W",-77.8833333333333,-0.6,
"00°36'14.61""S","77°53'10.82""W",-77.8833333333333,-0.6,
"00°34'57.07""S","77°52'32.25""W",-77.8666666666667,-0.566666666666667,
